rachel_good,rachel_bad,ross_good,ross_bad
"no, wait. no there's gotta be something else that you can do. i mean, what skills do you have?",thank you…we’re so excited,"so, saturday night!","dr. gettleman? yeah i know, i don't think that's a good idea. in fact, i think he's dead."
so maybe something in an office.,what?!,great!,"rach, i promise first thing tomorrow we'll find another doctor, but i gotta get up early and i'm not feeling all that well."
really?,"yeah, if you’re going to do the ears, you might as well take a pass at the nosal area.","oh, well, uh, this is gonna sound kinda silly, but, do you remember my roommate chandler bing?","you know? come to think of it, it does feel rubella-like!"
yeah.,"no, i know i don’t either, but ya know what, it’s their party, and it’s just one night. and we don’t even have to lie; we just won’t say anything. if it comes up again, we’ll just…smile. we’ll nod along.",it's been sixteen years but the air quotes still hurt.,rachel!!!
"oh, monica made me send her to my mother's. apparently babies and weddings don't mix.",hmmmm….,"that's ok. uh, anyway, well he and i both really liked you a lot, uhm, but we didn't want anything to jeopardize our friendship, so we kinda made a pact, that neither of us could ask you out!",thanks doctor.
uh... november?,oh…,"yeah, why?",you even have to ask?! he is alive!
hey pheebs...,unbelievable!,you did?,hey!
uhm... you haven't told these guys what they're doing in the wedding yet.,open it! open it! open it!,and on my turf?,you promised you wouldn't say anything.
"well, this is really awkward oh, and i can leave!","but it was beautiful. i mean it was small, but kind of spectacular.","you made out with missy goldberg. how could you do that, after you promised me?",he's a brilliant diagnostician!
"goody, what is it!","on a cliff, in barbados, at sunset, and stevie wonder sang isn’t she lovely as i walked down the aisle.",you broke the pact !,"why? why? i know it's a little weird, but hey, he's a great doctor, okay? he knows my medical history, and every time i go in there, he makes a big deal. 'ah look, it's my favorite patient!'"
"what, what, what, no, i don't wanna do that.","yeah, stevie’s an old family friend.",that doesn't matter! we're talking about the foundation of our friendship.,"hey, i seem to remember someone bringing his security blanket to college!"
happy wedding day!,so would i. you wouldn’t think that annie liebawitz would forget to put film in the camera.,i didn't.,it didn't spend much time on the wall!!!
"ok-dokey, joey, listen. this is gonna be bridesmaid central, all right? we're gonna have hair and make-up going on in the bathroom and oh, i had to move a couple of things in the fridge to make room for the corsages.",what? i’m not you. this may be the only wedding i ever have. i want it to be amazing.,no.,"excuse me, i don't mean to be a jerk, but the baby with the rash came in after me."
what d'you want?,"okay, ross, it has to be realistic.",no!,with the circus? he's behind the elephant.
"oh, ross, c'mon, please! don't make this harder than it already is!","and my veil was lace, made by blind, belgium nuns.",ler and ross hey! hey adrienne.,"yeah, that's how i know. i'm ross by the way."
"well, chandler said that it's really important to him too!","well, not at first, but it was very intricate work and they said even though they lost their sight, it was all worth it.",i never did anything with adrienne turner.,i am a single parent.
"oh, you are the lesser of two evils!","well, i don’t know about that, but some said that i looked like a floating angel.",i don't know what... you're talking about.,"well, let's say, i don't know, you met someone in the pediatrician's office."
hi,oh yeah. that’s a great story.,"listen adrienne, you can't tell chandler about this.","hmm, yeah. come on ross jr. it's time to go in."
"even so, i think i'm gonna pick ross.",shhh! i want to hear the rest!,cool!,"hey, i helped you find waldo!"
"all right fine, i pick you.","and the ring, was the size of my fist !",i didn't know you knew about that.,"oh good, you haven't left yet."
oh my...,"ross, it just wouldn’t have been feasible.",man... i... i'm sorry.,i got held up at dr. gettleman's office. there was some guy that freaked everybody out.
"well, in my defense, you were not supposed to tell each other.",it was really fun being married to you tonight.,"so, eh. i made out with adrienne and you made out with missy. well i guess we're even.",oh man.
who's there?,"okay ross, can i uh, can i ask you something?","we are even, right?",sure.
uh.,"that proposal, at the planetarium…",what did you do to my mom?,people so why you all dressed up.
"you know what, i can't do this. i don't know which one of you guys to pick.","are you kidding?! with the, with the lilies, and-and the song, and the stars! it was…really wonderful! did you just make that up?","hey, where's rachel?","oh yea now um how is that going, is it getting serious?"
"wow, this is a tough one. i think i'm gonna have to go with the dog.","well, that would’ve been very hard to say no too.",did you know chandler kissed rachel?,"you know i really admire your whole dating attitude, it's so healthy i'm always like is this moving to fast? is this moving to slow? where's this going?"
since when do you watch the news?,goodnight,nineteen eighty seven. the weekend you guys visited me at school.,"but you, your so much better off you just go from guy to guy having fun and never worrying that it terns into anything serious."
"wow, you know, it's so beautiful out there. you always wanted to get married outside. why don't you guys just do it on the street?",i will think about it.,"well, it matters to me",there isn't that's what i'm saying.
"well, look, it's hardly snowing anymore. i mean you couldn't ask for a more romantic setting. this could be the simple wedding you've always wanted!",hi!,because... the night you kissed rachel was the night i kissed rachel for the very first time,i know and yet here you are all ready for the next date.
"oh phoebe, i'm so happy for you honey.","so, i’m in my apartment doing the soap opera digest crossword puzzle, and guess who the clue is for three down.","okay, after you told me she was passed out in our room, i went in there to make sure she was all right. she was lying on my bed, all buried in peoples coats. well, i went to kiss her on the forehead, you know. but it was so dark, i accidentally got her lips. i started to pull away, but then i felt her start to kiss me back. it was only for a second, but... it was amazing. and now, now i find out that you kissed her first.","no, no, no there's nothing wrong with you i mean you don't strike me as the type of person that wants to get married anyway."
"geez ross, you could have showered.",so did they call you to tell you your name’s gonna be in this?,mine.,"please don't cry because of me pheebs i don't know what i'm talking about, i've been divorced three times."
"ok! can't believe i'm risking this again, but you're on! all right joe, you remember the rules! heads i win, tails you lose.","oh, come on joey! you will totally keep it in check this time, and plus y’know the publicity would be really good for your career! and you deserve that! and if you do the interview you can mention, oh i don’t know, gal pal rachel green?","no, she was definitely on my bed.",i'm sorry i didn't catch.
"ha, tails!","okay, don’t listen to him. please?","well, then who was on my bed?",oh ross geller
"oh, that sounds good!","come on! we will be there for you the whole time! just remember gal pal rachel green. ha-ha! i’m gonna be in soap opera digest ! and not just in the dumb crossword puzzle. seriously, proud of you.","no! no, no!",do you have a compact in your purse?
it's all done!,"oh yeah, i’d actually love a blueberry muffin and a chamomile tea.",you were under the pile of coats?,you look great.
"i know... honey, seriously, i did it all. the luggage that i'm taking is in the bedroom, this is emma's paris stuff, these are the boxes that i'm having shipped, and that's the sandwich that i made for the plane...",that is the coast guard.,oh my god!,so how'd the date go?
"oh, well. everything that i need is in here and my travel documents are on the counter organized in the order that i will be needing them.","it’s a trifle. it’s got all of these layers. first there’s a layer of ladyfingers, then a layer of jam, then custard, which i made from scratch. then raspberries, more ladyfingers, then beef sautã©ed with peas and onions, then a little more custard, and then bananas, and then i just put some whipped cream on top!",you were my first kiss with rachel ?,so he hasn't called?
it should be right next to my plane ticket.,oh! yay! look! there’s a piece that doesn’t have floor on it!,hi!,now i feel terrible this is all my fault.
"what? maybe i put it in here . oh, oh, it's not in there! oh, no! i must have packed it in one of these boxes!","hey, come on now!","oh, hey, oh... i... i was-i was going for a hand shake.",we are a rare breed.
"shoot. oh, i can't believe i did this!","hi! i’m gal pal rachel green, and if you want the dirt, i’m the one you come too. this might be joey’s baby , who knows? i’m just kidding—seriously, gal pal rachel green.",that is why !,"hey mike sorry to just drop by like this, can i come in?"
hi you guys!,"yeah, that’s gonna get you into soap opera digest . well i… …i would just like to say that joey truly has enriched the days of our lives.","yeah, i thought we'd be groomsmen, but wouldn't they have asked us by now? when did they ask you to be their bridesmaid?","i'm ross, phoebe's friend from the coffeehouse."
"no, no, no. it's ok. i'm gonna be fine.",you too!,i wanna say it's not looking good.,"yeah i really, really need to talk to you about something."
"well, i've been better.","oh, joey! sorry!",what?,no
"you guys are gonna come and visit me, right?",oh but look! that’s gonna leave a stain!,"oh, man!",damn super cuts!
i'm gonna miss you so much.,really?,football!,"oh no yeah, no phoebe is great, but umm i'm an idiot look right before you guys went out i accidentally got her all upset."
"you know what? uhm, i have some goodbye stuff that i wanted to say to each of you and i was gonna save it until the end of the night, but come here .",i’ve never lived like this before.,i can't believe we're gonna be the only people that aren't in this wedding.,"yes, yeah i said something stupid about her never having had a serious relationship, but you should know she is so much fun, a wonderful person please don't blow her off."
"oh, pheebs, i don't even know where to start.",ewwww!!,and it's a wedding! it'd be weird if i'm not in it...,well then i didn't need to bother you or the four other mike hanagens i bothered.
"oh, oh. . what is this?",ewwww!!,"who cares, and?",of course she has. if she'd never had a serious relationship i'd go round broadcasting it like some unstoppable moron.
"i'm gonna throw this away, but thank you so much for the gesture!","oh my god, jill!",i'll do it!,"yes, yes i did. and i will also say what i'm about to say vis-ã -vis the following phoebe has never had a serious relationship since her. super-serious relationship with. vicrum."
i love you phoebe.,this is chandler.,"no, mike, no, no. you wanna pick me, i mean... watch! huh?",what that's a real name!
"all right. well, if i gonna do this, i'd better keep going.",and you know monica and ross!,"well, if phoebe's choosing, then say hello to mike's next groomsman.",hey!
ok. monica?,"and that’s phoebe , and that’s joey.","please, you're going down!","yay! quick thing, i went to talk to mike."
can you come here with me for a minute?,don’t!!,is that what they say on the figure skating team?,"oh boy you got mad at that part. i went over there to tell him how great you are but you know me blah, blah, blah, and i ended up telling him that."
"mon... okay... i've gotta... just say what it is i'm gonna say... none of the amazing things that have happened to me in the last ten years, would have happened if it wasn't for you. no-one has been more like a sister to me...",yeah!,"so, what did you decide?",umm. that you had a six year long relationship with a guy named vicrum.
i wouldn't know what i'm gonna do without you...,wow! i can’t believe they didn’t put it in the part where you said you didn’t watch soap operas.,i'll do it!,well he seemed to bum hard that you'd never been in a serious relationship.
nan,hi!,hey!,"well phoebe, i think you'll feel better when you know a little bit about vicrum, his a kite designer and he used to date oprah."
i... i... i...,so what’s the final head count on my baby shower?,where's rach?,good yeah just be honest with him.
"oh, i'm sure gonna miss pretending to laugh at your weird jokes that i don't get.","what?! you mean they’re not coming to a social event where there’s no men and there’s no booze?! that’s shocking! i don’t care, as long as my mom’s here.","i have to talk to her about this groomsman situation, ok? i'm not gonna watch chandler up there while i'm sitting in the seats like some chump! . oh! my god! you're breathtaking!",i'll get it
"well, these aren't mine. maybe monica used to use them with...",what?! my mom’s not gonna be here?!,"you haven't by any chance chosen a groomsman yet, have you?",this is vicrum.
"well, i think you're forgetting the kinkiest former resident of that room.",my god!,i'm not! i'm making it easier! pick me!,"wow!â â wow, you look . . . uh . . .â â it's just, ah . . .â â that dress . . . uh . . .â"
can i talk to you alone for a minute?,so my mother is not coming to my baby shower?!,"listen, listen. whoever you pick is gonna walk down the aisle with you! now, i promise i won't say a word, but if you pick chandler he's gonna be whispering stupid jokes in your ear the whole time!","well, well, they're good.â it's been a while since i've seen you like this.â you, you clean up good."
oh honey...,"please, make sure she comes. it’s really important to me, i mean it’s my mom!","yes, yes!","oh right, right.â â so, are you . . . ah . . . you excited about your, your first night away from emma?"
"oh, you know what? let's not say anything else. i love you .",i don’t know.,good. i'm just getting some coffee. so i'm alert for the wedding.,"oh, it's fine.â actually, i, i invited mike over."
okay. oh...,okay.,"well, you have fun tonight.",yeah.
oh!,"oh well actually gonna use a nanny and uh, i don’t even have a housekeeper.","oh, i will.","we don't.â but i thought it would be nice to get to know him.â you know, maybe have a little dinner, drinks, conversation."
oh... well...,"mrs. kay! oh yeah, she was sweet. she taught me spanish. i actually think i remember some of it, tu madre es loca.","wait a minute, i know why i'm being such an ass, why are you?","i don't know.â but, you know, we, we have a lot in common, you know.â he plays piano; i played keyboards in college.â he's been divorced; i have some experience in that area."
i think i'm gonna take off.,"well, however great she was i just can’t afford that.",i'm not supposed to tell you!,"rach, rach, we'll be fine, all right?â you go have fun."
"oh, you guys. this was an amazing night. thank you so much. i love you. good night.",what?,"rachel, only one of us can do it, you have to choose. you and me together again.",so . . .â welcome.
what?,wh-wh-what? what?,what? a dog? no! rachel gets to choose.,i got bottled breast milk.
ross...,yes. yes i do.,haha! looks like you're not going to be in the wedding either. so sorry pheebs.,"okay.â â so, um, phoebe tells me you, ah, you play piano."
you really think i didn't say goodbye to you because i don't care?,why did you invite my mother?!,i can't believe you guys aren't going to be able to get married today.,"you know, i, i used to, ah, play keyboards in college."
"i cannot believe that after ten years, you do not know one thing about me.",she wants to move in with me and ross to help take care of the baby.,ler and ross i'll do it!,no.
"because it is too damn hard ross. i can't even begin to explain to you how much i'm gonna miss you. when i think about not seeing you every day, it makes me not want to go... okay, so if you think that i didn't say goodbye to you because you don't mean as much to me as everybody else, you're wrong. it's because you mean more to me. so there, all right, there's your goodbye... oh!","eight weeks. i mean i love my mother, but my god, a long lunch with her is taxing.","no, but chandler, hello... aren't you scared of dogs?","um . . . ah . . . you know, i'm divorced.â um, phoebe, ah . . . phoebe said you . . . you've been divorced?"
what?,"what? you guys, come on! what am i going to do?","well, i guess i'm in the wedding then. ha haaa... he stinks!",that's okay.â we'll talk about something else.â
what? ,"you’re right. you’re right. i mean i’m about to have a baby, i can tell my mother that i don’t want her to just be sleeping on my couch! oh my god! she’s gonna want to sleep in my bed with me. this cannot happen!","uhm, ministers don't ride the subway for free.",yeah.
shh.. go back to sleep. i have to go home.,okay.,i'll...,"ah?â â well, he and i would probably have a lot to talk about."
it really was. you've learned some new moves!,mom that’s okay that you didn’t get you a gift!,it's the dog,"shouldn't the pizza be here by now?â i mean, they said thirty minutes or less.â well, how long has it been?"
ah.,"oh yeah. okay, see mom, the truth is i can do this on my own.",uh joey...,"i do.â i do.â although, it's actually a lager."
i know!,"but mom, i really know what i’m doing. i can handle this.",chappy's heart rate has slowed way down,i don't know.â we could look it up.
morning!,he was a hamster! i am not going to vacuum up my baby!,"come on chappy, do your business. make! ma-ake! i did not sign on for this.",so soon?
hey.,wow!,hey!,"okay.â well, thanks, ah, thanks for the beer."
good. you?,"oh my gosh! oh wow! oh, i know what this is! wait a minute. that can’t be right. is that a beer bong for a baby?","hey erica, welcome back to town! wow, look how big you've gotten.",ah yeah.â good times.
chick and the duck? didn't they die...,"did i say i was done guessing? okay, thank you for that. oh wow! what’s this?","right, no, i understand.","uh, hi."
you too. last night was just wonderful.,"oh, it dispenses clean diapers!","no, no, i knew .",â why?â
i woke up today with the biggest smile on my face.,"well that’s gross, why don’t you just take it outside and throw it in a dumpster?",she brought them up! i didn't realize you were coming back so soon!,but you left.
"uh-huh. i know. it was just, it was just the perfect way to say goodbye.",what?! it goes ten times a day! what are we feeding this baby?! indian food?!,hotel? why isn't she staying with you guys?,"maybe you should look up ""fascinating."""
hi!,"i don’t know, i’d leave it on the changing table? what?! what’d i do? what’d i do?!","erica, those things aren't free. in fact they have one of the highest mark-ups of any consumer product...",i don't understand what just happened here.
hi! so i just dropped emma off at my mom's.,"oh come— —of course i know that. i mean of course you never leave a baby alone! i mean who would—she wouldn’t be safe as she would be with me, the baby dummy. oh god, okay. y’know what? i think opening the presents right now is a little overwhelming right now. so i think umm, i’m just gonna maybe open them a little bit later, but thank you all for coming. and for these beautiful gifts, and this basket is beautiful.","oh man, i can't believe you guys are leaving this place.",oh god.â
"no, we decided that i would go ahead and set up first, and then my mom would bring emma to paris on sunday.","okay mommy, don’t ever leave me. ","no, no. this will always be your place. it would be too sad. plus, how much a month does it cost to feed joey?","oh, you know . . . we just drank some beer and mike played with the boundaries of normal social conduct."
"are you kidding? eight hours with my mother talking about atkins? good luck, emma!","so umm, you’re gonna stay with me as long as i need you?","hey, is chandler here? we talked about catching a movie.","rachel, lock the door.â lock the door,â seriously."
yeah?,"oh mom, i swear i’m not an idiot. i’ve read all kinds of books on pregnancy and giving birth, but i-i just didn’t think to read the part about what to do when the baby comes. and-and then guess what? the baby’s coming and i don’t know what to do. oh, can i throw up in my diaper genie?","mhm, packing - sexy cheerleader comedy.","hello.â â ah, no, she's not here right now.â can i take a message?â â bill from the bar?â â okay, ""bill from the bar.""â i'll make sure she gets your number."
"gunther... oh... i love you too. probably not in the same way, but i do. and, and when i'm in a café, having coffee, or i see a man with hair brighter than the sun, i'll think of you. aw.",wait-wait where are you going? where are you going?,what are you guys doing?,"so, ah . . . so, how was it?â â uh, did you guys. . . did you guys have a good time?"
oh... bye guys.,okay.,"you got it! . all right, she's right, we gotta get serious. let's put styrofoam peanuts down his pants and kick him!","uh, rach."
"hi! you guys, the car-service just got here. i can't believe they're not home yet! i have to catch my stupid plane. i wanna see the baby!","oh we did, but my mom got us the greatest gift of all.","chandler, you don't have a sister so you can't understand how much this bums me out.",â never mind.
oh my god!,no. she’s going to live with us for eight weeks.,"bumming hard, guys, bumming hard.",hey you guys.â
hi! oh my gosh!,yes! she’s gonna help us take care of the baby! woo-hoo.,"yeah? yeah, where is it?",you're really not coming back?
"ross, rachel hey.",i do. i really do. i don’t know anything.,rock on!,i can't get *enough* dinosaurs!
oh.,oh no? pheebs? monica? do i know anything about babies?,"hey, where's rach?",you got me a cola drink?
what... what...,hello?! i still don’t know what the hell i’m doing!,great.,"well this, this is too much, i feel like i should get you another sweater."
aw..,i hope you’re going somewhere with this.,here she is!,"ooh, hey ben, what if the holiday armadillo told you all about the festival of lights?"
"oh my gosh. wow, so beautiful.",really?,"oh, man! i can't believe she's actually leaving. how am i gonna say goodbye to rachel?",yeah!
"oh, you guys, i can't believe this. but i'll leave now, or i'm gonna miss my plane.",thank you.,yeah?,years and years ago there were these people called the maccabees...
"me too. oh, i'm just sorry i'm not gonna be around to watch you two attempt to handle this! alright, i can't say goodbye to you guys again. i love you all so much.",okay! i’m ready.,"hey, what do you think they're doing in there?","what are you doing here, santa?"
"i will. ross, come here.","yes, i’ve done my studying and i really know my stuff.",hey. what was that all about?,"i'm the holiday armadillo, your part-jewish friend. you sent me here to give ben some presents. remember?"
i just want you to know.. last night.. i'll never forget it.,"uh, put your elbow in it.",are you kidding? oh my god...,what are you doing?
"alright, now i really have to go. okay. au revoir! oh, they're gonna really hate me over there.","full, dry, on its back, and no loose covers.","oh, man, i'm not going to be able to handle this. now i know how my students feel at the end of each year. and why they act out by giving me such bad evaluations.","thank you, but, but you, you gotta leave."
"oh my god! i was so afraid i wasn't gonna remember any of my high-school french, but i understood every word you just said!","check if it’s wet, check if it’s hungry, burp it!","oh no, she took down monica... and i'm the crier in the family. oh god! i could be next. maybe she won't talk with me if it looks like we're deep in converstation. oh, so that thing you said about the thing. it really made me think about that other thing.","because, i'm finally getting him excited about hanukkah, and, and you're-you're wrecking it."
oh.,a card! a card! i pick a card!,well it's okay. chandler is talking to her.,"i'm sorry chandler, but this, this is really important to me."
"oh, shoot. i had it. oh, i can't believe this.","yeah but y’know what they say mon, ""there’s no such thing as bad press.""",i don't think so.,"answer faster, answer faster!"
"i have it, i have it, i have it. oh, okay, i can't find it, but i remember that i was in seat 32c, because that's my bra-size.",i didn’t write it.,god! i can't believe she saved me for last. why are they taking so long?,"answer better, answer better!"
"okay, fine! but you know what? if i was in 36d, we would not be having this problem.",ross!,"okay, here we go...",really? you're not gonna return it?
oh! shoot! damn it! where is it? oh! oh! i found it! i found it!,i am freaking out!,yeah...,"wow, it really is!"
hah! i found it! i told you i would find it! in your face! you're a different person.,my due date is in one week!,huh?,oh my god...
hello?,that is seven days!,what? i don't get a goodbye?,"what, you, you really quit your job?"
yeah.,"no-no-no-no-no ross! please, come on we do not have any of the big stuff we need! we do not a changing table! we do not have a crib! we do not have a diaper service!",unbelievable. she says goodbye to everyone but me,"oh, hey..."
phoebe? is everything okay?,i’m serious.,"well, it needs to be plicit","""a donation has been made in your name to the new york city ballet."" -- how did you know?"
what? why?,okay. thank you. that’s great. thank you. wait-wait! where on west 10 th ? because there’s this really cute shoe store that has like this little…,"no, i don't think so.",hi guys.
"oh, honey, i'm sure there's nothing wrong with the plane.","oh, wait ross! i’m sorry, one more thing!","o-kay... i mean, don't i deserve anything ? i mean, a few tears, a cursory hug? not from you!",rachel and i are bringing emma to ralph lauren today to introduce her to everyone. doesn't she look cute?
"alright, look, i have to go. i love you, and i will call you the minute i get to paris.","umm, our situation. y’know umm, what we mean to each other. and i mean we-we’re having this baby together, and we live together. isn’t that, isn’t that weird?",the hell i do!,"i think she's gonna be the hit of the office, huh? she's gonna be hotter than peasant blouses and a-line skirts. can i get a blue bow?"
"oh, that was just my crazy friend. she told me i should get off the plane, because she had a feeling that there was something wrong with the left philange.",i’m just kidding! you can go pee!,i don't get a goodbye?,"yeah, after you punched that one guy who got it wrong, word spread."
"i wouldn't worry about it. she's always coming up with stuff like this, and you know what? she's almost never right.",oh.,"everyone gets a goodbye but me? what have i got to do to get a goodbye, huh? be best friends with you? uh, go out with you? have a baby with you? oh wait a minute, wait a minute, i did all those things.","good one, rach."
well...,"no-no-no! no, no, no, we’re not married.","oh no, maybe it's me , i'm just not giving you enough credit. uh, i mean it is difficult to say goodbye to five people. uh, goodbye, goodbye, goodbye, goodbye, good... it's physically impossible. you know what? after all we've been through, i can't believe this is how you want to leave things between us. have a, have a good time in paris.",rach we have a code brown situation.
"wait, what are you doing?","oh yeah! actually, that’s one of the reasons why we’re not a couple.",that's what it seemed like.,"alright, but you have to do one sometime."
could i get some peanuts?,"oh. oh yeah, don’t get to worked up over it. i mean it-it sounds like he’s a doctor, but he’s not.","fine, then why didn't you say something?","what? no, that's illegal. i'm gonna have the labor department down her so fast they won't even..."
this is ridiculous! i...,"oh my god! i’m standing at a cash register, holding a credit card, and i’m bored.",rach!,what about emma? we don't have a nanny.
"yeah, okay.",hi pheebs!,"you keep, you keep... you can't...",absolutely. just give me your breast and we'll be on our way.
oh my god... what.. what are you guys doing here?,"oh, it was great! we got everything that we needed! oh and ross, almost got something that wasn’t on the list. a whore.",hey.,"fine, fine. we'll have fun, won't we? yes, we will, yes we will."
"what? what? ross, you're scaring me. what's going on?","well, we were paying for our stuff and this saleswoman just started flirting with him.",oh. this was amazing.,huh?
yeah?,yeah.,"yeah, well, this guy at work gave me ""sex for dummies"" as a joke.",so you have to tell monica you don't want to have a baby right now?
what?,you don’t understand! you didn’t see how brazen she was.,who's laughing now?,good-bye.
oh my god.,no! i’m not! i-i-i just think it’s wrong! it’s-it’s that i’m—here i am about to pop and he’s out picking up some shop girl at sluts ‘r’ us!,what?,"yeah, and i was really hoping that i could hang out. what do you feel like doing?"
i - i have to get on the plane.,oh yeah! you really—you look great.,oh my god!,i don't feel like having sex. maybe we can watch a movie or something.
"yes, i do.","chandler, i’m not gonna lie to ya, but i am gonna run away from you.","phoebe, you were sure ben was gonna be a girl.",pants off bing!
"they're waiting for me, ross. i can't do this right now, i'm sorry. i'm sorry.","all this stuff takes up a lot of room. hey how uh, how serious are you about keeping ben in your life?",is rachel here?,hey.
i'm so sorry.,horny bitch. no! you’re a horny bitch! noooo! you’re the horny bitch! no! you’re a horny bitch! ,"uh, we, y'know, we worked things out.",you have a blue tie that would go with this? emma spit up on mine.
"ross, hi. it's me. i just got back on the plane. and i just feel awful. that is so not how i wanted things to end with us. it's just that i wasn't expecting to see you, and all of a sudden you're there and saying these things... and... and now i'm just sitting here and thinking of all the stuff i should have said, and i didn't. i mean, i didn't even get to tell you that i love you too. because of course i do. i love you. i love you. i love you. what am i doing? i love you! oh, i've gotta see you. i've gotta get off this plane.","so you guys go, have a really good time.","hey, i'm not one to kiss and tell, but i'm also not one to have sex and shut up. we totally did it!",here's an idea. you walk into a room...take a quick scan!
excuse me?,"so, you had a good day huh? big commission; picked up a daddy.","i know, it's pretty great.","you know what? i don't need a tie. i mean, it's better, open collar. you know, it's more casual"
"i'm sorry. i'm really sorry, but i need to get off the plane, okay? i need to tell someone that i love love them.","oh yeah! yeah please, you guys have fun.","oh, i.. i don't know. we didn't really get to talk.",hey you guys!
"oh, please, miss, you don't understand!","oh and it was great to see you too. and you look fantastic, although you missed a button.","i don't know. it was incredible. i mean, it just felt so right. when i was holding her, i mean, i never wanted to let her go. you know what? yeah, i do. i wanna be together.","uh, good news everyone, we finally found a nanny. this is molly . molly, chandler, joey."
"oh, come on, miss, isn't there any way that you can just let me off...","oh okay, i see what you’re doing there.",shhh!,"ooh, somebody's getting a little fussy."
i got off the plane.,hi! you’re back from your date!,"wow, i hadn't thought of that. i hope not.",yeah.
i do love you.,"i’m fine, but that’s not important. what’s important is how was she?",hey.,"eh, i mean, i mena she's not unattractive but hot? i ...."
"okay. 'cause this is where i wanna be, okay? no more messing around. i don't wanna mess this up again.","oh uh-huh, uh-huh, coffee, a little rub-rub-rub under the table.",hey. how did you sleep?,"yeah, obvious beauty's the worst. you know, when it's right there in your face. me, i like to have to work to find someone attractive. makes me feel like i earned it."
"okay. you and me, alright? this is it.","no! no, she’s—she was nice. i mean, she’s a little slutty, but who isn’t?",good.,"ok, i'll be home right after work. ok, by emma-wemma-demma, i love you - wovyou dovyou ..."
i know. it seems smaller somehow.,"of course you did ross, you would date a gorilla if it called you indiana jones!",uh. would you guys mind giving us a minute?,"come on, there are plenty of other women out thereok? just - just forget about her, ok? just, she's off limits."
"do you guys have to go to the new house right away, or do you have some time?","no! it’s just that, kate bothered me.",so...,"what are you, a child?"
"okay, should we get some coffee?",there was nothing wrong with her! all right? she was perfectly lovely!,morning.,"joey, come on now, for me! please, just-just try to focus your sexual energy on someone else."
0,i don’t want you to date her!,it really was.,whazzup??
0,"yes! and not because i want you to go out with me, but because i don’t want you to go out with anybody! okay? i know it’s a terrible thing to even think this, and it’s completely inappropriate, but i want you to be at my constant beck and call 24 hours a day! i’m very sorry, but that is just the way that i feel.","i know, me too. it was... you know, it was like one of those things you think is never gonna happen, and then it does, and it's everything you want it to be.","listen, can you do me a favor? i'm gonna be out today. can you just keep an eye on joey, make sure nothing happens between him and molly?"
0,what?!,and then she said it was the perfect way to say goodbye.,"wh - no. some woman who sounded a lot like joey called earlier and asked for her daughter, the ""hot nanny""."
0,really? but i’m being so unreasonable.,nothing! what do you say to that?,"you do appear right on the cusp of something. come on man, i'm sure he'll lose interest in a week or two, but for now can you please just do this for me?"
0,"oh ross, thank you. thank you.",no way!,"well we gotta do something, ok? nannies like her don't grow on trees."
0,"no, not really. you’re pressing the baby into my bladder and now i have to pee. sorry.",what?,"i am, yes."
0,yeah.,you really think so?,where the hell are joey and molly? i asked you to watch them.
0,uh-huh.,okay.,we have to stop them before something happens!
0,"wow! i don’t know, maybe. i’m…","alright, you know what? you're right. i should at least tell her how i feel.","molly, ah, do you mind giving us just a minute?"
0,i knew that! i knew that! i was just messin’ with you too!,what? what?,thanx.
0,"oh no-no-no-no, no!",oh my god!,"what do you think you're gonna do, have sex with her right here on my couch?"
0,no that’s just— —that’s just ‘cause i’m such a good messer!,i'm not getting you a muffin!,"yeah, come on in. molly?"
0,yeah?,hey.,"ok ... well, uh, joey, i guess we have no problem."
0,right!,"no, and i'm not going to.",yeah! yeah! ok! sure! look! can we...can we talk about what happened here last night?
0,hi!,because she's just going to shoot me down. you guys saw what happened with gunther. that did not look like fun.,ok you...you really don't know what i am talking about?
0,what?!,"yeah, and she still wants to go! it's pretty clear where she is.",ok! last night after the party i saw rachel kissing that jerk from her office out on your balcony.
0,do you have to go?,"look, even if i were gonna tell her, i don't have to do it now. okay? i'll be seeing her again. we've got time.","right that's why i came over to talk about. hum...i saw rachel kissing some guy on your balcony, even though there were no lights !"
0,thank you joey. you know what? i'm not even sure i can have caffeine.,oh my god! you did that yourself?,"why...why should i? i mean if she wants to move on, that's fine!"
0,yeah. just to be sure i'm gonna call dr. wiener.,oh my god!,"no i'm serious. i mean she wants to date people? fine! i don't care but...at least she could have told me. you know i...i've been putting my life on hold and just concentrating on emma but if she wants to go out there kissing guys she barely knows, then so will i ! very funny! ross is gay! ah! ah!"
0,every time?,oh my god!,"i don't know. i mean i have plenty of opportunity. just just now there were some women at the coffee house smiled at me. and then the other day on the subway a woman ""accidentally"" sat on my hand."
0,"all right, i trust you.","okay, okay, awkward question. the hospital knows you took two, right?","well, and how about this? there is an anthropologist at school who totally came on to me during the inter-departmental potluck dinner."
0,i'm on the phone! dr. wiener?,oh my god.,not well. i went on the subway again and someone did sit on my hand but that person was neither female nor wearing pants.
0,"excuse me? oh yeah? well, up yours too!","aw, he's gonna be so happy.",that's funny...do you think you'll ever work again?
0,dr. wiener.,neither will i.,i can't believe rachel just moved on and didn't say anything to me
0,"oh you know what, you sound just like his wife!",yeah.,"no no, about a month ago she gave her number to some guy in a bar."
0,"yes, of course there is! okay? i'm not insane!",yeah?,"no. when he called, i...i threw the message away."
